instrument	cruise	id	date	quantile	beads_fsc_small	beads_D1	beads_D2	width	notch_small_D1	notch_small_D2	notch_large_D1	notch_large_D2	offset_small_D1	offset_small_D2	offset_large_D1	offset_large_D2
130	TN450	b5d61b58-8e9b-4888-b387-03f3cf4224fd	2026-04-10T17:55:51+00:00	50.0	54928.0	37008.0	36288.0	10000.0	0.674	0.661	1.635	1.632	0.0	0.0	-52799.0	-53354.0
130	TN450	b5d61b58-8e9b-4888-b387-03f3cf4224fd	2026-04-10T17:55:51+00:00	97.5	55232.0	36704.0	35232.0	10000.0	0.665	0.638	1.63	1.627	0.0	0.0	-53324.0	-54630.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	2.5	54960.0	37580.0	37408.0	10000.0	0.684	0.681	1.64	1.637	0.0	0.0	-52554.0	-52561.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	50.0	55360.0	37224.0	36640.0	10000.0	0.672	0.662	1.635	1.632	0.0	0.0	-53289.0	-53707.0
130	TN450	8381d24c-ba2b-4efa-9827-215f8a4efb46	2026-04-10T17:55:51+00:00	97.5	55728.0	36912.0	35920.0	10000.0	0.662	0.645	1.63	1.627	0.0	0.0	-53924.0	-54749.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	2.5	55056.0	38032.0	37200.0	10000.0	0.691	0.676	1.64	1.637	0.0	0.0	-52259.0	-52926.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	50.0	55440.0	37712.0	36144.0	10000.0	0.68	0.652	1.635	1.632	0.0	0.0	-52932.0	-54334.0
130	TN450	e08c678b-e6e6-470c-87a2-a0686d3eb05c	2026-04-10T17:55:51+00:00	97.5	55824.0	37312.0	35216.0	10000.0	0.668	0.631	1.63	1.627	0.0	0.0	-53681.0	-55609.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	2.5	54960.0	38080.0	36432.0	10000.0	0.693	0.663	1.64	1.637	0.0	0.0	-52054.0	-53537.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	50.0	55328.0	37792.0	35600.0	10000.0	0.683	0.643	1.635	1.632	0.0	0.0	-52669.0	-54695.0
130	TN450	f2ec9b02-b97e-451a-aba4-9686131600cd	2026-04-10T17:55:51+00:00	97.5	55696.0	37424.0	34912.0	10000.0	0.672	0.627	1.63	1.627	0.0	0.0	-53360.0	-55705.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	2.5	54300.0	38272.0	37024.0	10000.0	0.705	0.682	1.64	1.637	0.0	0.0	-50780.0	-51865.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	50.0	54704.0	36936.0	36112.0	10000.0	0.675	0.66	1.635	1.632	0.0	0.0	-52505.0	-53164.0
130	TN450	1a4ed1cf-6426-41c8-90b7-47cc152a3c42	2026-04-10T17:55:51+00:00	97.5	55172.0	36244.0	35056.0	10000.0	0.657	0.635	1.63	1.627	0.0	0.0	-53686.0	-54708.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	2.5	53712.0	36704.0	35392.0	10000.0	0.683	0.659	1.64	1.637	0.0	0.0	-51383.0	-52534.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	50.0	54112.0	36352.0	34512.0	10000.0	0.672	0.638	1.635	1.632	0.0	0.0	-52121.0	-53798.0
130	TN450	5ec0a0de-ee63-4ee4-9240-d4a7e72c32e0	2026-04-10T17:55:51+00:00	97.5	54512.0	36064.0	33712.0	10000.0	0.662	0.618	1.63	1.627	0.0	0.0	-52790.0	-54979.0
130	TN450	20c986dc-d7db-4603-9d37-60aceb078ba7	2026-04-10T17:55:51+00:00	2.5	55152.0	38224.0	37160.0	10000.0	0.693	0.674	1.64	1.637	0.0	0.0	-52225.0	-53123.0
130	TN450	20c986dc-d7db-4603-9d37-60aceb078ba7	2026-04-10T17:55:51+00:00	50.0	55440.0	37936.0	36376.0	10000.0	0.684	0.656	1.635	1.632	0.0	0.0	-52708.0	-54102.0
130	TN450	20c986dc-d7db-4603-9d37-60aceb078ba7	2026-04-10T17:55:51+00:00	97.5	55696.0	37496.0	35668.0	10000.0	0.673	0.64	1.63	1.627	0.0	0.0	-53288.0	-54949.0
130	TN450	147247c1-c121-400e-8f10-079f5df4ebbd	2026-04-10T17:55:51+00:00	2.5	55344.0	38112.0	36192.0	10000.0	0.689	0.654	1.64	1.637	0.0	0.0	-52652.0	-54406.0
130	TN450	147247c1-c121-400e-8f10-079f5df4ebbd	2026-04-10T17:55:51+00:00	50.0	55648.0	37776.0	35616.0	10000.0	0.679	0.64	1.635	1.632	0.0	0.0	-53208.0	-55201.0
130	TN450	147247c1-c121-400e-8f10-079f5df4ebbd	2026-04-10T17:55:51+00:00	97.5	55904.0	37472.0	35072.0	10000.0	0.67	0.627	1.63	1.627	0.0	0.0	-53651.0	-55883.0
130	TN450	e38eecdf-d1bc-4946-a190-5657876d1b3e	2026-04-10T17:55:51+00:00	2.5	55376.0	38864.0	37648.0	10000.0	0.702	0.68	1.64	1.637	0.0	0.0	-51952.0	-53002.0
130	TN450	e38eecdf-d1bc-4946-a190-5657876d1b3e	2026-04-10T17:55:51+00:00	50.0	55856.0	38384.0	36640.0	10000.0	0.687	0.656	1.635	1.632	0.0	0.0	-52940.0	-54516.0
130	TN450	e38eecdf-d1bc-4946-a190-5657876d1b3e	2026-04-10T17:55:51+00:00	97.5	56288.0	37856.0	35728.0	10000.0	0.673	0.635	1.63	1.627	0.0	0.0	-53893.0	-55852.0
130	TN450	48b16526-1ba5-4012-8e7e-8793813fbe4a	2026-04-10T17:55:51+00:00	2.5	55376.0	38044.0	36640.0	10000.0	0.687	0.662	1.64	1.637	0.0	0.0	-52772.0	-54010.0
130	TN450	48b16526-1ba5-4012-8e7e-8793813fbe4a	2026-04-10T17:55:51+00:00	50.0	55744.0	37680.0	36048.0	10000.0	0.676	0.647	1.635	1.632	0.0	0.0	-53461.0	-54926.0
130	TN450	48b16526-1ba5-4012-8e7e-8793813fbe4a	2026-04-10T17:55:51+00:00	97.5	56128.0	37332.0	35376.0	10000.0	0.665	0.63	1.63	1.627	0.0	0.0	-54156.0	-55944.0
130	TN450	f3e132db-0cde-455f-b40e-0958d3ed8377	2026-04-10T17:55:51+00:00	2.5	55456.0	38208.0	36288.0	10000.0	0.689	0.654	1.64	1.637	0.0	0.0	-52739.0	-54493.0
130	TN450	f3e132db-0cde-455f-b40e-0958d3ed8377	2026-04-10T17:55:51+00:00	50.0	55808.0	37872.0	35616.0	10000.0	0.679	0.638	1.635	1.632	0.0	0.0	-53374.0	-55462.0
130	TN450	f3e132db-0cde-455f-b40e-0958d3ed8377	2026-04-10T17:55:51+00:00	97.5	56080.0	37600.0	35008.0	10000.0	0.67	0.624	1.63	1.627	0.0	0.0	-53810.0	-56234.0
130	TN450	e299c455-94d2-4cf4-b626-2aaf897f1add	2026-04-10T17:55:51+00:00	2.5	55232.0	38192.0	37152.0	10000.0	0.691	0.673	1.64	1.637	0.0	0.0	-52388.0	-53262.0
130	TN450	e299c455-94d2-4cf4-b626-2aaf897f1add	2026-04-10T17:55:51+00:00	50.0	55616.0	37760.0	35968.0	10000.0	0.679	0.647	1.635	1.632	0.0	0.0	-53172.0	-54797.0
130	TN450	e299c455-94d2-4cf4-b626-2aaf897f1add	2026-04-10T17:55:51+00:00	97.5	55904.0	37472.0	35216.0	10000.0	0.67	0.63	1.63	1.627	0.0	0.0	-53651.0	-55739.0
130	TN450	948821ba-2399-46b0-a0ba-a0f858888422	2026-04-10T17:55:51+00:00	2.5	55052.0	37776.0	36192.0	10000.0	0.686	0.657	1.64	1.637	0.0	0.0	-52509.0	-53928.0
130	TN450	948821ba-2399-46b0-a0ba-a0f858888422	2026-04-10T17:55:51+00:00	50.0	55456.0	37496.0	35440.0	10000.0	0.676	0.639	1.635	1.632	0.0	0.0	-53174.0	-55064.0
130	TN450	948821ba-2399-46b0-a0ba-a0f858888422	2026-04-10T17:55:51+00:00	97.5	55776.0	37200.0	34768.0	10000.0	0.667	0.623	1.63	1.627	0.0	0.0	-53714.0	-55979.0
130	TN450	0f09bfde-68ca-44f1-a018-c88b6f59375b	2026-04-10T17:55:51+00:00	2.5	55072.0	38544.0	37824.0	10000.0	0.7	0.687	1.64	1.637	0.0	0.0	-51774.0	-52328.0
130	TN450	0f09bfde-68ca-44f1-a018-c88b6f59375b	2026-04-10T17:55:51+00:00	50.0	55488.0	38256.0	37008.0	10000.0	0.689	0.667	1.635	1.632	0.0	0.0	-52466.0	-53548.0
130	TN450	0f09bfde-68ca-44f1-a018-c88b6f59375b	2026-04-10T17:55:51+00:00	97.5	55824.0	37808.0	36096.0	10000.0	0.677	0.647	1.63	1.627	0.0	0.0	-53185.0	-54729.0
130	TN450	43707502-4c03-4eed-969d-bdbc60bb8f2a	2026-04-10T17:55:51+00:00	2.5	55216.0	38156.0	36816.0	10000.0	0.691	0.667	1.64	1.637	0.0	0.0	-52398.0	-53572.0
130	TN450	43707502-4c03-4eed-969d-bdbc60bb8f2a	2026-04-10T17:55:51+00:00	50.0	55648.0	37776.0	36112.0	10000.0	0.679	0.649	1.635	1.632	0.0	0.0	-53208.0	-54705.0
130	TN450	43707502-4c03-4eed-969d-bdbc60bb8f2a	2026-04-10T17:55:51+00:00	97.5	55952.0	37504.0	35396.0	10000.0	0.67	0.633	1.63	1.627	0.0	0.0	-53697.0	-55637.0
130	TN450	bcecec18-3910-4adb-b029-7029afd80b14	2026-04-10T17:55:51+00:00	2.5	55344.0	37804.0	37264.0	10000.0	0.683	0.673	1.64	1.637	0.0	0.0	-52960.0	-53334.0
130	TN450	bcecec18-3910-4adb-b029-7029afd80b14	2026-04-10T17:55:51+00:00	50.0	55648.0	37568.0	36640.0	10000.0	0.675	0.658	1.635	1.632	0.0	0.0	-53416.0	-54177.0
130	TN450	bcecec18-3910-4adb-b029-7029afd80b14	2026-04-10T17:55:51+00:00	97.5	55920.0	37316.0	35984.0	10000.0	0.667	0.643	1.63	1.627	0.0	0.0	-53833.0	-54997.0
130	TN450	ffaf0169-40ee-4da3-a541-1b6f0a43332b	2026-04-10T17:55:51+00:00	2.5	55200.0	37840.0	36880.0	10000.0	0.686	0.668	1.64	1.637	0.0	0.0	-52688.0	-53482.0
130	TN450	ffaf0169-40ee-4da3-a541-1b6f0a43332b	2026-04-10T17:55:51+00:00	50.0	55584.0	37616.0	36224.0	10000.0	0.677	0.652	1.635	1.632	0.0	0.0	-53263.0	-54489.0
130	TN450	ffaf0169-40ee-4da3-a541-1b6f0a43332b	2026-04-10T17:55:51+00:00	97.5	55856.0	37376.0	35488.0	10000.0	0.669	0.635	1.63	1.627	0.0	0.0	-53669.0	-55389.0
130	TN450	411daa42-1740-43d9-a620-0be65e238d01	2026-04-10T17:55:51+00:00	2.5	55136.0	38128.0	37216.0	10000.0	0.692	0.675	1.64	1.637	0.0	0.0	-52295.0	-53041.0
